Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9
,,,,False,,,2021-12-11,,https://www.promodescuentos.com/ofertas/combo-livin-room-50-1200-con-cupon-50-683170,Hogar,Muebles,,,,,,,
,,,,False,,,2021-12-11,,https://www.promodescuentos.com/ofertas/amazon-monster-jam-rc-115-grave-digger-683169,"Familia, bebés y niños",Juguetes,,,,,,,
,,,,False,,,2021-12-11,,https://www.promodescuentos.com/ofertas/amazon-monster-jam-freestyle-force-683167,"Familia, bebés y niños",Juguetes,,,,,,,
,,,,False,,,2021-12-11,,https://www.promodescuentos.com/ofertas/downy-pureza-silvestre-4-unidades-683168,Abarrotes y alimentos,Limpieza del hogar,,,,,,,
,,,,False,,,2021-12-11,,https://www.promodescuentos.com/ofertas/telcel-mi-band-4c-683165,Tecnología,Wearables,Xiaomi,,,,,,
,,,,False,,,2021-12-11,,https://www.promodescuentos.com/ofertas/recopilacion-de-memorias-usb-de-16gb-683162,Tecnología,Accesorios electrónicos,Almacenamiento externo,Memorias USB,,,,,
,,,,False,,,2021-12-11,,https://www.promodescuentos.com/ofertas/dc-multiverse-batman-disenado-por-todd-mcfarlane-figura-de-accion-de-7-pulgadas-683160,"Familia, bebés y niños",Juguetes,,,,,,,
,,,,False,,,2021-12-11,,https://www.promodescuentos.com/ofertas/liverpool-reloj-reloj-hamilton-khaki-field-683157,Ropa y accesorios,Accesorios de moda,Relojes,,,,,,
,,,,False,,,,Local,https://www.promodescuentos.com/ofertas/mercado-libre-proximos-cupones-dic-13-20-683156,Finanzas y seguros,,,,,,,,
,,,,False,,,,,https://www.promodescuentos.com/ofertas/shazam-5-meses-gratis-de-apple-music-nuevos-clientes-657349,Servicios y suscripciones,Streaming,Streaming de música,Apple,,,,,
